"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","symbol","chr","start","end","strand","biotype","description"
"1137","ENSG00000175538",158.402125940673,-1.23148701921948,0.250416152909343,-4.91776191316745,8.75392899565444e-07,2.46427982600718e-05,10008,"KCNE3","11",74454841,74467729,-1,"protein_coding","potassium channel, voltage gated subfamily E regulatory beta subunit 3 [Source:HGNC Symbol;Acc:HGNC:6243]"
"1156","ENSG00000177663",940.366871086149,0.627217056738247,0.141189915864821,4.44236440610081,8.89757040308708e-06,0.000193890221229862,23765,"IL17RA","22",17084954,17115694,1,"protein_coding","interleukin 17 receptor A [Source:HGNC Symbol;Acc:HGNC:5985]"
"705","ENSG00000143570",2248.07773727612,0.335692446096153,0.0713657712984844,4.70382986112674,2.55326043913011e-06,6.44485489177092e-05,27173,"SLC39A1","1",153959099,153968184,-1,"protein_coding","solute carrier family 39 (zinc transporter), member 1 [Source:HGNC Symbol;Acc:HGNC:12876]"
"571","ENSG00000133142",3090.51775861329,1.47987220300485,0.17940770704504,8.24865457219927,1.60187726399701e-16,2.60864851217577e-14,79921,"TCEAL4","X",103576231,103587736,1,"protein_coding","transcription elongation factor A (SII)-like 4 [Source:HGNC Symbol;Acc:HGNC:26121]"
"403","ENSG00000115841",182.372182087865,0.756007572770649,0.170535326054529,4.43314350323471,9.28690078999059e-06,0.000200642100519839,151393,"RMDN2","2",37923187,38067142,1,"protein_coding","regulator of microtubule dynamics 2 [Source:HGNC Symbol;Acc:HGNC:26567]"
"319","ENSG00000107821",477.12701719012,-1.10906111275629,0.314407187018404,-3.52746743251568,0.0004195553709086,0.00520406723375164,81621,"KAZALD1","10",101061841,101068131,1,"protein_coding","Kazal-type serine peptidase inhibitor domain 1 [Source:HGNC Symbol;Acc:HGNC:25460]"
"655","ENSG00000138380",244.958743264716,-0.803703829893442,0.151191648152931,-5.31579514948136,1.0619256540248e-07,3.88474976575014e-06,79800,"CARF","2",202912214,202987063,1,"protein_coding","calcium responsive transcription factor [Source:HGNC Symbol;Acc:HGNC:14435]"
"1107","ENSG00000172939",1236.30437978796,0.477043379745163,0.0752541984170671,6.33909323040471,2.31121357730715e-10,1.48950338843901e-08,9943,"OXSR1","3",38165089,38255488,1,"protein_coding","oxidative stress responsive 1 [Source:HGNC Symbol;Acc:HGNC:8508]"
"14","ENSG00000010256",1811.67409574834,0.471529636154946,0.104348045702457,4.51881616929833,6.21863578679852e-06,0.000141201257857667,7384,"UQCRC1","3",48599002,48610976,-1,"protein_coding","ubiquinol-cytochrome c reductase core protein I [Source:HGNC Symbol;Acc:HGNC:12585]"
"833","ENSG00000155827",1306.71177644312,-0.355100124061837,0.0918803867286855,-3.86480876610169,0.000111176270146297,0.00173763117787995,56254,"RNF20","9",101533851,101563344,1,"protein_coding","ring finger protein 20, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:10062]"
"898","ENSG00000162493",1067.40194872569,1.75615320256713,0.468012646996245,3.75236270608992,0.000175175771469833,0.00253636430106178,10630,"PDPN","1",13583465,13617957,1,"protein_coding","podoplanin [Source:HGNC Symbol;Acc:HGNC:29602]"
"303","ENSG00000106211",8538.62956816814,0.501825115719879,0.117875440912758,4.2572491083303,2.0695771005757e-05,0.000412417699844986,3315,"HSPB1","7",76302544,76304295,1,"protein_coding","heat shock 27kDa protein 1 [Source:HGNC Symbol;Acc:HGNC:5246]"
"1369","ENSG00000213462",223.809931875353,-0.538198329581508,0.158895225372271,-3.38712713563657,0.000706286498990277,0.00784216204340744,2086,"ERV3-1","7",64990809,65006743,-1,"protein_coding","endogenous retrovirus group 3, member 1 [Source:HGNC Symbol;Acc:HGNC:3454]"
"659","ENSG00000138615",855.755382175577,1.38741110292222,0.331649286022249,4.1833682790716,2.87221536513983e-05,0.000544104864540999,8483,"CILP","15",65194758,65211488,-1,"protein_coding","cartilage intermediate layer protein, nucleotide pyrophosphohydrolase [Source:HGNC Symbol;Acc:HGNC:1980]"
"355","ENSG00000111231",251.748404364098,0.702820436354364,0.165138352804715,4.25594917484425,2.0816399482639e-05,0.00041427643911244,51184,"GPN3","12",110452484,110469268,-1,"protein_coding","GPN-loop GTPase 3 [Source:HGNC Symbol;Acc:HGNC:30186]"
"1011","ENSG00000167645",628.767987190332,1.12761089528895,0.202406345840362,5.57102540736692,2.53244390020954e-08,1.07735569855824e-06,90522,"YIF1B","19",38305104,38317273,-1,"protein_coding","Yip1 interacting factor homolog B (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:30511]"
"818","ENSG00000154262",2403.79798293357,1.02199664130372,0.182896845082323,5.58783089365876,2.2992337273833e-08,9.8645594337734e-07,23460,"ABCA6","17",69078702,69141888,-1,"protein_coding","ATP-binding cassette, sub-family A (ABC1), member 6 [Source:HGNC Symbol;Acc:HGNC:36]"
"55","ENSG00000053747",1279.31503515979,1.2531455738128,0.279623816979944,4.48154090501768,7.41060252025854e-06,0.000166025998771177,3909,"LAMA3","18",23689443,23955066,1,"protein_coding","laminin, alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]"
"568","ENSG00000133069",146.588668067564,-1.07399120427694,0.21994375317076,-4.88302663200946,1.044697546346e-06,2.87149625034667e-05,9911,"TMCC2","1",205228176,205273343,1,"protein_coding","transmembrane and coiled-coil domain family 2 [Source:HGNC Symbol;Acc:HGNC:24239]"
"665","ENSG00000139173",174.595162674441,-0.635908754170607,0.174199340832295,-3.65046590378783,0.00026176505793618,0.00350524474132931,84216,"TMEM117","12",43835967,44389762,1,"protein_coding","transmembrane protein 117 [Source:HGNC Symbol;Acc:HGNC:25308]"
"144","ENSG00000082458",399.271210883853,-0.804786664646443,0.180133114994243,-4.46773301328945,7.90528823909135e-06,0.000176326348131132,1741,"DLG3","X",70444861,70505490,1,"protein_coding","discs, large homolog 3 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:2902]"
"687","ENSG00000141522",4637.60126839868,0.507027850552001,0.0893990829727127,5.67151064297562,1.41543806426024e-08,6.39904760693173e-07,396,"ARHGDIA","17",81867721,81871406,-1,"protein_coding","Rho GDP dissociation inhibitor (GDI) alpha [Source:HGNC Symbol;Acc:HGNC:678]"
"863","ENSG00000158716",159.827819084471,1.3099304684622,0.221643378068489,5.91008168111128,3.41938134829645e-09,1.74365422626094e-07,54935,"DUSP23","1",159780932,159782543,1,"protein_coding","dual specificity phosphatase 23 [Source:HGNC Symbol;Acc:HGNC:21480]"
"1297","ENSG00000196950",794.992247520349,-1.05871802934944,0.224028462214243,-4.72581929494731,2.29189396629544e-06,5.87322066320549e-05,57181,"SLC39A10","2",195575977,195737702,1,"protein_coding","solute carrier family 39 (zinc transporter), member 10 [Source:HGNC Symbol;Acc:HGNC:20861]"
"741","ENSG00000146250",313.821137829102,-2.69619806209382,0.349714270595824,-7.7097170141218,1.26097028843874e-14,1.59144958486706e-12,167681,"PRSS35","6",83512538,83525704,1,"protein_coding","protease, serine, 35 [Source:HGNC Symbol;Acc:HGNC:21387]"
"213","ENSG00000100242",3905.31285956984,1.70211462773297,0.251991112923417,6.75466133700619,1.43169274817307e-11,1.1657519715635e-09,25777,"SUN2","22",38734725,38794143,-1,"protein_coding","Sad1 and UNC84 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:14210]"
"1098","ENSG00000172354",2613.88987579479,0.441979556665375,0.123791737724207,3.57034778564988,0.000356507572664833,0.00454487137037786,2783,"GNB2","7",100673531,100679174,1,"protein_coding","guanine nucleotide binding protein (G protein), beta polypeptide 2 [Source:HGNC Symbol;Acc:HGNC:4398]"
"342","ENSG00000109861",4209.17580466704,1.05208847487367,0.246048754351736,4.27593497738124,1.90336775268876e-05,0.000381808008138693,1075,"CTSC","11",88293592,88337787,-1,"protein_coding","cathepsin C [Source:HGNC Symbol;Acc:HGNC:2528]"
"1155","ENSG00000177628",2610.06244968449,-0.319014473539568,0.0894677194644526,-3.56569358701849,0.000362895171628349,0.00461852720530365,2629,"GBA","1",155234452,155244699,-1,"protein_coding","glucosidase, beta, acid [Source:HGNC Symbol;Acc:HGNC:4177]"
"817","ENSG00000154217",194.499919189598,0.959998209800507,0.23312886439101,4.11788652730007,3.8236287324332e-05,0.000691457067161783,26207,"PITPNC1","17",67377281,67697261,1,"protein_coding","phosphatidylinositol transfer protein, cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:21045]"
"423","ENSG00000117280",1185.46097593664,0.497389333144683,0.128947500590273,3.85730107887181,0.000114645912399348,0.00177900854845095,8934,"RAB29","1",205767986,205775460,-1,"protein_coding","RAB29, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9789]"
"532","ENSG00000130227",1721.20923905169,-0.383281265697681,0.113737119218509,-3.36988723058238,0.000751989513368562,0.00825879708482007,23039,"XPO7","8",21919671,22006585,1,"protein_coding","exportin 7 [Source:HGNC Symbol;Acc:HGNC:14108]"
"1097","ENSG00000172349",898.126751874125,1.03315596972868,0.156702790466048,6.59309235436063,4.30758422073623e-11,3.16691082636166e-09,3603,"IL16","15",81159575,81314058,1,"protein_coding","interleukin 16 [Source:HGNC Symbol;Acc:HGNC:5980]"
"1436","ENSG00000277443",5819.2400512788,-1.23013087981184,0.169725065044163,-7.24778558483247,4.23640540637255e-13,4.36465033193961e-11,4082,"MARCKS","6",113857362,113863471,1,"protein_coding","myristoylated alanine-rich protein kinase C substrate [Source:HGNC Symbol;Acc:HGNC:6759]"
"854","ENSG00000157617",972.580085473845,1.09458472666354,0.288962191183007,3.7879859720828,0.000151873422172534,0.00225060956830041,25966,"C2CD2","21",41885112,41953890,-1,"protein_coding","C2 calcium-dependent domain containing 2 [Source:HGNC Symbol;Acc:HGNC:1266]"
"799","ENSG00000151929",1202.68635289829,0.421692884604814,0.0993485673609458,4.24457942179228,2.19003791279192e-05,0.00043243968955976,9531,"BAG3","10",119651370,119677819,1,"protein_coding","BCL2-associated athanogene 3 [Source:HGNC Symbol;Acc:HGNC:939]"
"1152","ENSG00000177469",19490.5474683114,0.654627352968634,0.149637061865576,4.37476748612391,1.21561980065753e-05,0.000254289528742518,284119,"PTRF","17",42402452,42423517,-1,"protein_coding","polymerase I and transcript release factor [Source:HGNC Symbol;Acc:HGNC:9688]"
"597","ENSG00000135241",966.297581767267,0.567580106303877,0.151557553115246,3.74498066666649,0.000180407667814599,0.00258846761865491,50640,"PNPLA8","7",108470422,108569666,-1,"protein_coding","patatin-like phospholipase domain containing 8 [Source:HGNC Symbol;Acc:HGNC:28900]"
"724","ENSG00000145041",639.17185164515,0.417016199549682,0.113586128281782,3.67136556072372,0.00024125797417756,0.00327237969409898,9730,"VPRBP","3",51395867,51500002,-1,"protein_coding","Vpr (HIV-1) binding protein [Source:HGNC Symbol;Acc:HGNC:30911]"
"1433","ENSG00000276600",308.766133363223,-1.76082930200901,0.163005606502967,-10.8022622030302,3.35825910545656e-27,1.88373459822739e-24,338382,"RAB7B","1",205976740,206003461,-1,"protein_coding","RAB7B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30513]"
"792","ENSG00000150990",373.367493598381,0.639529671058799,0.128030452493908,4.99513716152202,5.87939656582861e-07,1.72564846878826e-05,57647,"DHX37","12",124946825,124989122,-1,"protein_coding","DEAH (Asp-Glu-Ala-His) box polypeptide 37 [Source:HGNC Symbol;Acc:HGNC:17210]"
"1202","ENSG00000183160",2936.72405730511,-1.17321057251272,0.136042633291821,-8.62384492364314,6.47427794709409e-18,1.27341479881481e-15,338773,"TMEM119","12",108589846,108598320,-1,"protein_coding","transmembrane protein 119 [Source:HGNC Symbol;Acc:HGNC:27884]"
"402","ENSG00000115828",346.67751842486,1.13084586697978,0.309289510232664,3.65626970707509,0.000255912103670718,0.00344208597699203,25797,"QPCT","2",37344574,37373322,1,"protein_coding","glutaminyl-peptide cyclotransferase [Source:HGNC Symbol;Acc:HGNC:9753]"
"941","ENSG00000164171",847.020591560988,-0.960172484530436,0.239159923707154,-4.01477166260575,5.95033724291051e-05,0.00101713157498736,3673,"ITGA2","5",52989326,53094779,1,"protein_coding","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor) [Source:HGNC Symbol;Acc:HGNC:6137]"
"1165","ENSG00000178764",841.987801307467,-0.655271076319029,0.139853885940711,-4.68539770569424,2.79416827726547e-06,6.99465761308852e-05,22882,"ZHX2","8",122781394,122974512,1,"protein_coding","zinc fingers and homeoboxes 2 [Source:HGNC Symbol;Acc:HGNC:18513]"
"1171","ENSG00000179593",68.3800745222305,8.90550237510338,1.09726793123076,8.11606912189114,4.81526493100644e-16,7.4119436890877e-14,247,"ALOX15B","17",8039017,8049134,1,"protein_coding","arachidonate 15-lipoxygenase, type B [Source:HGNC Symbol;Acc:HGNC:434]"
"262","ENSG00000103150",316.539014673218,0.717123454959996,0.194744228398792,3.68238617830302,0.000231061040608394,0.00316117385728467,23417,"MLYCD","16",83899126,83927026,1,"protein_coding","malonyl-CoA decarboxylase [Source:HGNC Symbol;Acc:HGNC:7150]"
"870","ENSG00000159212",748.984948400376,1.04745607105134,0.238667562413107,4.3887659490078,1.13995671117584e-05,0.000240641295497623,54102,"CLIC6","21",34669389,34718227,1,"protein_coding","chloride intracellular channel 6 [Source:HGNC Symbol;Acc:HGNC:2065]"
"1009","ENSG00000167552",8184.00481690659,-1.27115637667455,0.220972451983087,-5.75255587412244,8.79042009445607e-09,4.17338283167828e-07,7846,"TUBA1A","12",49184796,49189324,-1,"protein_coding","tubulin, alpha 1a [Source:HGNC Symbol;Acc:HGNC:20766]"
"509","ENSG00000127083",306.138735647406,1.80206471400291,0.527381881253192,3.41700156577385,0.000633149154627168,0.00718280445455315,4958,"OMD","9",92414245,92424461,-1,"protein_coding","osteomodulin [Source:HGNC Symbol;Acc:HGNC:8134]"
"496","ENSG00000126016",404.398400122558,-2.49800472432824,0.332774776809575,-7.50659274202648,6.06861489407352e-14,6.9628161038442e-12,154796,"AMOT","X",112774503,112840815,-1,"protein_coding","angiomotin [Source:HGNC Symbol;Acc:HGNC:17810]"
"45","ENSG00000044090",1230.24037547482,-0.42870718057984,0.0973322393717124,-4.40457533235832,1.059913047281e-05,0.000225521200068158,9820,"CUL7","6",43037617,43053945,-1,"protein_coding","cullin 7 [Source:HGNC Symbol;Acc:HGNC:21024]"
"229","ENSG00000101084",636.646253772069,0.507919202265656,0.133747924284744,3.79758568203507,0.00014611227831447,0.00217855177621234,55969,"C20orf24","20",36605734,36612557,1,"protein_coding","chromosome 20 open reading frame 24 [Source:HGNC Symbol;Acc:HGNC:15870]"
"738","ENSG00000146006",70.6309989496603,-4.003773263424,0.544215156054865,-7.3569675869526,1.88135007769634e-13,2.00655260047261e-11,26045,"LRRTM2","5",138868923,138875368,-1,"protein_coding","leucine rich repeat transmembrane neuronal 2 [Source:HGNC Symbol;Acc:HGNC:19409]"
"286","ENSG00000105402",1977.6790310677,0.364816553538568,0.0996468155748166,3.66109595609362,0.000251138671965011,0.00338088461058675,8775,"NAPA","19",47487637,47515240,-1,"protein_coding","N-ethylmaleimide-sensitive factor attachment protein, alpha [Source:HGNC Symbol;Acc:HGNC:7641]"
"642","ENSG00000137880",80.759235820225,1.78611560955584,0.312924148694894,5.70782286060426,1.14430419418537e-08,5.31610031317098e-07,2644,"GCHFR","15",40764020,40767710,1,"protein_coding","GTP cyclohydrolase I feedback regulator [Source:HGNC Symbol;Acc:HGNC:4194]"
"1179","ENSG00000181061",2495.79383552303,1.26971875384145,0.135477477297113,9.3721759452079,7.10523521650057e-21,2.10997622262551e-18,25994,"HIGD1A","3",42784298,42804531,-1,"protein_coding","HIG1 hypoxia inducible domain family, member 1A [Source:HGNC Symbol;Acc:HGNC:29527]"
"644","ENSG00000137962",4572.42412811343,1.21889763811529,0.290435749953192,4.1967892668576,2.70725618650072e-05,0.000520983417338672,9411,"ARHGAP29","1",94148988,94275068,-1,"protein_coding","Rho GTPase activating protein 29 [Source:HGNC Symbol;Acc:HGNC:30207]"
"237","ENSG00000101417",291.295276340568,-0.589558194429044,0.141434504360037,-4.16841842870436,3.06720488709896e-05,0.000573491580433503,11264,"PXMP4","20",33702754,33720319,-1,"protein_coding","peroxisomal membrane protein 4, 24kDa [Source:HGNC Symbol;Acc:HGNC:15920]"
"867","ENSG00000158985",391.216749659149,0.547238824601436,0.154708606792661,3.53722288595642,0.000404358269209362,0.00505281022044207,56990,"CDC42SE2","5",131245493,131398447,1,"protein_coding","CDC42 small effector 2 [Source:HGNC Symbol;Acc:HGNC:18547]"
"1087","ENSG00000171793",696.230481492342,1.63272251162401,0.232544516639287,7.02111808620548,2.20099729192382e-12,2.07044124137803e-10,1503,"CTPS1","1",40979335,41012565,1,"protein_coding","CTP synthase 1 [Source:HGNC Symbol;Acc:HGNC:2519]"
"500","ENSG00000126561",816.269023047796,0.706126217845281,0.13485286545169,5.23627151325343,1.63852861627015e-07,5.69163208564482e-06,6776,"STAT5A","17",42287547,42311943,1,"protein_coding","signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366]"
"1272","ENSG00000189339",3069.88080321814,-0.450004630250227,0.12449339815064,-3.61468669772923,0.000300711051494536,0.00394308993496515,728661,"SLC35E2B","1",1659529,1692728,-1,"protein_coding","solute carrier family 35, member E2B [Source:HGNC Symbol;Acc:HGNC:33941]"
"747","ENSG00000146592",694.975972522806,-2.04981110148884,0.241232458296239,-8.4972441767004,1.94144761304639e-17,3.58575903653508e-15,9586,"CREB5","7",28299321,28825894,1,"protein_coding","cAMP responsive element binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16844]"
"1434","ENSG00000277196",36.1901302568853,7.24681258072455,1.18428999268492,6.11912000057959,9.40935280763753e-10,5.29757056772009e-08,102724788,"AC007325.2","KI270734.1",138082,161852,-1,"protein_coding",""
"1148","ENSG00000176974",155.450218773783,1.09528135146272,0.181262497979829,6.04251493645756,1.51730297673692e-09,8.14877786619882e-08,6470,"SHMT1","17",18327860,18363563,-1,"protein_coding","serine hydroxymethyltransferase 1 (soluble) [Source:HGNC Symbol;Acc:HGNC:10850]"
"591","ENSG00000134871",4509.49075225117,0.920979663509456,0.18780673876597,4.90386910267959,9.39671199790987e-07,2.62570485624253e-05,1284,"COL4A2","13",110305812,110513027,1,"protein_coding","collagen, type IV, alpha 2 [Source:HGNC Symbol;Acc:HGNC:2203]"
"952","ENSG00000164619",552.897197133708,-1.3638518358625,0.350506824083584,-3.8910849722494,9.97969737061435e-05,0.00159433034470416,168667,"BMPER","7",33904911,34155872,1,"protein_coding","BMP binding endothelial regulator [Source:HGNC Symbol;Acc:HGNC:24154]"
"70","ENSG00000064309",400.460451223338,-1.49092807583903,0.342440383848061,-4.35383250972101,1.33777931494487e-05,0.000278305875341209,50937,"CDON","11",125955796,126063335,-1,"protein_coding","cell adhesion associated, oncogene regulated [Source:HGNC Symbol;Acc:HGNC:17104]"
"711","ENSG00000143786",82.9595713890804,-0.878781910934483,0.247096677350937,-3.55642949292435,0.000375929312415317,0.00474454119710831,149111,"CNIH3","1",224434660,224740549,1,"protein_coding","cornichon family AMPA receptor auxiliary protein 3 [Source:HGNC Symbol;Acc:HGNC:26802]"
"862","ENSG00000158552",359.099205694015,-0.430152983794885,0.124525180929377,-3.45434538287352,0.000551630423372214,0.00646164846037953,130617,"ZFAND2B","2",219195237,219209651,1,"protein_coding","zinc finger, AN1-type domain 2B [Source:HGNC Symbol;Acc:HGNC:25206]"
"1287","ENSG00000196526",2134.94123998317,-0.578238834209734,0.165934625475497,-3.48473883948423,0.000492617596538154,0.00592588840315356,60312,"AFAP1","4",7758714,7939926,-1,"protein_coding","actin filament associated protein 1 [Source:HGNC Symbol;Acc:HGNC:24017]"
"253","ENSG00000102760",1101.9020999627,3.06952331707272,0.670014452488275,4.58127926296699,4.62140227029564e-06,0.000110396115747047,28984,"RGCC","13",41457559,41470882,1,"protein_coding","regulator of cell cycle [Source:HGNC Symbol;Acc:HGNC:20369]"
"680","ENSG00000140564",2519.98803846909,0.512316482404193,0.123483535732264,4.14886469978471,3.34128209765495e-05,0.000618627351699074,5045,"FURIN","15",90868592,90883458,1,"protein_coding","furin (paired basic amino acid cleaving enzyme) [Source:HGNC Symbol;Acc:HGNC:8568]"
"1325","ENSG00000198517",819.406592066286,0.781220759501895,0.153159013846183,5.10071682941541,3.3836948890839e-07,1.07209328650995e-05,7975,"MAFK","7",1530714,1543043,1,"protein_coding","v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog K [Source:HGNC Symbol;Acc:HGNC:6782]"
"338","ENSG00000109686",5986.93708031536,0.729185173135124,0.132479911675695,5.50411880497124,3.71019298522018e-08,1.51050733228924e-06,152503,"SH3D19","4",151102751,151325632,-1,"protein_coding","SH3 domain containing 19 [Source:HGNC Symbol;Acc:HGNC:30418]"
"1314","ENSG00000197860",557.923109459773,0.729732189145853,0.125453499876743,5.81675433417809,6.00012220162255e-09,2.92192446120815e-07,54557,"SGTB","5",65665928,65723035,-1,"protein_coding","small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta [Source:HGNC Symbol;Acc:HGNC:23567]"
"41","ENSG00000035115",469.642006100102,-0.534510818487573,0.123829823101918,-4.3164950502081,1.58526234203592e-05,0.000326019310350688,26751,"SH3YL1","2",217730,266398,-1,"protein_coding","SH3 and SYLF domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29546]"
"1118","ENSG00000173611",639.575485412595,-0.592696302201553,0.173235931760813,-3.42132429558488,0.000623169766485245,0.0070961700100895,286205,"SCAI","9",124942608,125143506,-1,"protein_coding","suppressor of cancer cell invasion [Source:HGNC Symbol;Acc:HGNC:26709]"
"283","ENSG00000105137",1424.02601953486,0.502091632764608,0.103437573510624,4.85405463144433,1.20962389034993e-06,3.27138461059815e-05,85360,"SYDE1","19",15107403,15114988,1,"protein_coding","synapse defective 1, Rho GTPase, homolog 1 (C. elegans) [Source:HGNC Symbol;Acc:HGNC:25824]"
"525","ENSG00000129048",1444.96974183789,-1.44305477342871,0.314985520472658,-4.58133685403475,4.62012957154328e-06,0.000110396115747047,51554,"ACKR4","3",132597237,132618967,1,"protein_coding","atypical chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:1611]"
"549","ENSG00000131459",1036.26411293511,1.35408404329247,0.28831305282695,4.69657557996589,2.64559370115503e-06,6.64469595422769e-05,9945,"GFPT2","5",180300690,180353387,-1,"protein_coding","glutamine-fructose-6-phosphate transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4242]"
"882","ENSG00000160613",2376.68789152809,1.00187722066936,0.257457488513043,3.89142777106912,9.96560569034748e-05,0.00159376027645525,9159,"PCSK7","11",117204337,117232525,-1,"protein_coding","proprotein convertase subtilisin/kexin type 7 [Source:HGNC Symbol;Acc:HGNC:8748]"
"42","ENSG00000035403",17004.3073453495,0.878840958659301,0.204090682281986,4.30612974993651,1.66135632946742e-05,0.000339100291236983,7414,"VCL","10",73995193,74121363,1,"protein_coding","vinculin [Source:HGNC Symbol;Acc:HGNC:12665]"
"945","ENSG00000164292",15288.3343204177,1.06640579471603,0.240680220944845,4.4307994671503,9.38843665810004e-06,0.000202546827901603,22836,"RHOBTB3","5",95713522,95824383,1,"protein_coding","Rho-related BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:18757]"
"1266","ENSG00000188916",52.4004015310668,2.38816573268698,0.637102132100828,3.74848177765794,0.000177908260813813,0.00256389945641993,642938,"FAM196A","10",127135426,127196158,-1,"protein_coding","family with sequence similarity 196, member A [Source:HGNC Symbol;Acc:HGNC:33859]"
"493","ENSG00000125868",15937.9441078362,0.901021146071259,0.213163770531807,4.22689626770707,2.36936827847375e-05,0.000461828604600836,11034,"DSTN","20",17569863,17609919,1,"protein_coding","destrin (actin depolymerizing factor) [Source:HGNC Symbol;Acc:HGNC:15750]"
"820","ENSG00000154310",774.181546388555,-1.10392979536111,0.246106578198399,-4.48557614120813,7.27171721009039e-06,0.000163155788365658,23043,"TNIK","3",171061339,171460408,-1,"protein_coding","TRAF2 and NCK interacting kinase [Source:HGNC Symbol;Acc:HGNC:30765]"
"950","ENSG00000164442",7569.27463761189,1.57480006764853,0.26589343038188,5.92267385240314,3.16748656301033e-09,1.62615538972174e-07,10370,"CITED2","6",139371807,139374620,-1,"protein_coding","Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2 [Source:HGNC Symbol;Acc:HGNC:1987]"
"48","ENSG00000048740",5672.82425267741,0.849811265665144,0.19792286725677,4.2936487200474,1.75760486815606e-05,0.000355867991019031,10659,"CELF2","10",11005321,11336675,1,"protein_coding","CUGBP, Elav-like family member 2 [Source:HGNC Symbol;Acc:HGNC:2550]"
"1258","ENSG00000188042",1240.62443645537,-0.765622782121368,0.15233994941772,-5.0257518467596,5.01463989909491e-07,1.52503456369061e-05,10123,"ARL4C","2",234493041,234497053,-1,"protein_coding","ADP-ribosylation factor-like 4C [Source:HGNC Symbol;Acc:HGNC:698]"
"988","ENSG00000166482",27413.4128904298,-0.949287540571041,0.0953628287781088,-9.95448176961961,2.41075592859932e-23,9.36176885606071e-21,4239,"MFAP4","17",19383442,19387240,-1,"protein_coding","microfibrillar-associated protein 4 [Source:HGNC Symbol;Acc:HGNC:7035]"
"75","ENSG00000065526",1489.2348721478,0.729551351127534,0.170176035417001,4.28703929633708,1.81070271654076e-05,0.00036466878513311,23013,"SPEN","1",15847864,15940460,1,"protein_coding","spen family transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:17575]"
"394","ENSG00000114767",205.762638337664,0.96484521986251,0.194416185495835,4.96278238049877,6.94904285435929e-07,2.00463341008136e-05,9136,"RRP9","3",51933430,51941941,-1,"protein_coding","ribosomal RNA processing 9, small subunit (SSU) processome component, homolog (yeast) [Source:HGNC Symbol;Acc:HGNC:16829]"
"1084","ENSG00000171608",404.901199995409,0.723190442771885,0.209519858480749,3.4516558383335,0.00055715790590397,0.00651092321366947,5293,"PIK3CD","1",9651732,9729114,1,"protein_coding","phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]"
"1232","ENSG00000185532",1537.01489457668,-0.527275352835263,0.11623510456299,-4.53628320650342,5.72542852619735e-06,0.000131780569953281,5592,"PRKG1","10",50991358,52298350,1,"protein_coding","protein kinase, cGMP-dependent, type I [Source:HGNC Symbol;Acc:HGNC:9414]"
"341","ENSG00000109775",373.655383457226,-0.485481885603706,0.120566399300003,-4.02667649048463,5.65707810677521e-05,0.000971388298493317,55325,"UFSP2","4",185399540,185425985,-1,"protein_coding","UFM1-specific peptidase 2 [Source:HGNC Symbol;Acc:HGNC:25640]"
"235","ENSG00000101347",14134.9917673153,3.85041430891126,0.284885035614294,13.5156776508414,1.26386525047548e-41,1.91412392184512e-38,25939,"SAMHD1","20",36890229,36951843,-1,"protein_coding","SAM domain and HD domain 1 [Source:HGNC Symbol;Acc:HGNC:15925]"
"1197","ENSG00000182836",26.8990678019036,2.73994441589825,0.765305509738301,3.58019690311022,0.000343335389969778,0.00440289117789356,345557,"PLCXD3","5",41306954,41510628,-1,"protein_coding","phosphatidylinositol-specific phospholipase C, X domain containing 3 [Source:HGNC Symbol;Acc:HGNC:31822]"
"153","ENSG00000084764",313.392834137857,-0.730246276188872,0.171241668738105,-4.26441929449837,2.00422768918106e-05,0.000400448922858141,22924,"MAPRE3","2",26970612,27027196,1,"protein_coding","microtubule-associated protein, RP/EB family, member 3 [Source:HGNC Symbol;Acc:HGNC:6892]"
"116","ENSG00000074935",273.111485781263,-0.662484970896639,0.155389875896379,-4.26337280389113,2.01364144895406e-05,0.000401799733127921,51175,"TUBE1","6",112070777,112087529,-1,"protein_coding","tubulin, epsilon 1 [Source:HGNC Symbol;Acc:HGNC:20775]"
